Locations:
Arad = (91,492)
Bucharest = (400,327)
Craiova = (253,288)
Drobeta = (165,299)
Eforie = (562,293)
Fagaras = (305,449)
Giurgiu = (375,270)
Hirsova = (534,350)
Iasi = (473,506)
Lugoj = (165,379)
Mehadia = (168,339)
Neamt = (406,537)
Oradea = (131,571)
Pitesti = (320,368)
Rimnicu = (233,410)
Sibiu = (207,457)
Timisoara = (94,410)
Urziceni = (456,350)
Vaslui = (509,444)
Zerind = (108,531)

Paths:
Arad,Zerind = 75
Arad,Sibiu = 140
Arad,Timisoara = 118
Bucharest,Urziceni = 85
Bucharest,Pitesti = 101
Bucharest,Giurgiu = 90
Bucharest,Fagaras = 211
Craiova,Drobeta = 120
Craiova,Rimnicu = 146
Craiova,Pitesti = 138
Drobeta,Mehadia = 75
Eforie,Hirsova = 86
Fagaras,Sibiu = 99
Hirsova,Urziceni = 98
Iasi,Vaslui = 92
Iasi,Neamt = 87
Lugoj,Timisoara = 111
Iasi,Mehadia = 70
Oradea,Zerind = 71
Iasi,Sibiu = 151
Pitesti,Rimnicu = 97
Rimnicu,Sibiu = 80
Urziceni,Vaslui = 142
